Channel Title,Channel Username,ID,Message,Date,Media Path
ETHIO-AMERICAN MEDICAL TRAININGS( CPD ) & HEALTH CONSULTANCY CENTER,EAHCI,2408,"#Monitoring_And_Evaluation_Training 
💥 Hawassa & Addis Ababa 
💥Take Training on Blended mode 
💥Trainers - M & E Guest Experts 
💥Call📞0965412222 Dr.Shalom
💥Only for few trainees
✍️Accredited",2024-10-15 20:11:16+00:00,photos\EAHCI_2408.jpg
ETHIO-AMERICAN MEDICAL TRAININGS( CPD ) & HEALTH CONSULTANCY CENTER,EAHCI,2407,,2024-10-15 17:30:34+00:00,photos\EAHCI_2407.jpg
ETHIO-AMERICAN MEDICAL TRAININGS( CPD ) & HEALTH CONSULTANCY CENTER,EAHCI,2406,"#Ultrasound_For_Sale

#New_with_used_Price 
#Price(390,000ETB)

#እውነተኛ_ገዚ_ብቻ inbox 0941038774 

#Two_Probes

#Hawassa",2024-10-15 17:30:34+00:00,photos\EAHCI_2406.jpg
ETHIO-AMERICAN MEDICAL TRAININGS( CPD ) & HEALTH CONSULTANCY CENTER,EAHCI,2405,"💥ነገ ይጀምራል
የሞያ_ፈቃድ_በቅርቡ_ለምታሳድሱ

✔️#Title_Integrated Emergency Medicine (15 CEU)

# ጥቅምት 6/2017ጀምሮ  ይሰጣል።
#A.A_Oromia_Amhara_AA_Harari_SNNPR_Sidama_ላላችሁ።
--------------------------------------------
☎️0942404444
☎️0968670067
☎️0965410000 
☎️0965412222      
☎️0462124400  

    🚩Organized By-(Ethio-American CPD center & Health Consultancy.)

🏃We Are Committed To
Excellence In Medical Trainings ❗

-join our telegram channel 
T.me/eahci#",2024-10-15 12:14:57+00:00,photos\EAHCI_2405.jpg
ETHIO-AMERICAN MEDICAL TRAININGS( CPD ) & HEALTH CONSULTANCY CENTER,EAHCI,2404,,2024-10-13 14:03:08+00:00,
ETHIO-AMERICAN MEDICAL TRAININGS( CPD ) & HEALTH CONSULTANCY CENTER,EAHCI,2403,,2024-10-13 13:42:46+00:00,photos\EAHCI_2403.jpg
ETHIO-AMERICAN MEDICAL TRAININGS( CPD ) & HEALTH CONSULTANCY CENTER,EAHCI,2402,"#💥የግርዛት_ስልጠና_Addis_Ababa
#Circumcision_Skill_Training_@Addis Ababa(Adult & Neonates with Ring )  በቀለበትና ያለቀለበት #ጥቅምት 9 /2017 ይሰጣል።(15CEU CPD & Skill)
🔶🔶🔶🔶🔶🔶🔶🔶🔶🔶
👉የግርዛት ክህሎት ስልጠና (በቀለበትና ያለቀለበት - Ring /Without Ring-cut ) ስልጠና 
👉አዘጋጅ-Ethio-American  Health Consultancy & CPD Center.
👉ሰልጣኞች-GP,HO,Nurse,Midwif

   📞Dr shalom 0965412222

   📞0968670067  selam

   📞 Ekram       0965410000

   📞office       0941404444
   📞 Office       0462124400  

👉ማስታወሻ :-የሰልጣኞች ቁጥር 12 ብቻ መሆኑን እየገለፅን ቀድመው  የተመዘገቡ ብቻ የሚስተናገዱ መሆኑን እናሳውቃለን።
👉Circumcision is our Patented & Accredited Course !
:-t.me/eahci",2024-10-13 13:42:46+00:00,photos\EAHCI_2402.jpg
ETHIO-AMERICAN MEDICAL TRAININGS( CPD ) & HEALTH CONSULTANCY CENTER,EAHCI,2401,"💥
የሞያ_ፈቃድ_በቅርቡ_ለምታሳድሱ

✔️#Title_Integrated_Emergency_Medicine (15 CEU)

# ጥቅምት 5/2017ጀምሮ  ይሰጣል።
#A.A_Oromia_Amhara_AA_Harari_SNNPR_Sidama_ላላችሁ።
--------------------------------------------
☎️0942404444
☎️0968670067
☎️0965410000 
☎️0965412222      
☎️0462124400  

    🚩Organized By-(Ethio-American CPD center & Health Consultancy.)

🏃We Are Committed To
Excellence In Medical Trainings ❗

-join our telegram channel 
T.me/eahci#",2024-10-13 13:39:28+00:00,photos\EAHCI_2401.jpg
ETHIO-AMERICAN MEDICAL TRAININGS( CPD ) & HEALTH CONSULTANCY CENTER,EAHCI,2400,"💥ለአዲስ_አበባ_ጤና_ባለሞያዎች 

#የሙያ_ ብቃት_ማረጋገጫ (license)ለ አዲስ (እድሳት ) ለማድረግ  hrl.moh.gov.et  online system ለማመልከት የሚጠይቃቸው ቅድመ ሁኔታዎች  
•3 በ 4 የሆነ 2 ፎቶ ግራፍ
•  መታወቂያ
•  የ8ኛ ከፍል፣10ኛ ክፍል፣12ኛ ክፍል ሰርተፊኬት
•  የ9ኛ 10ኛ፣11ኛ  እና 12ኛ ክፍል  ትራንስከርቢት
•  ዲፕሎማ/ዲግሪ/
•  የዲፕሎማ/ዲግሪ ትራንስክርቢት(ስቱደንት ኮፒ)
•  የስራ ልምድ(ለእድሳት) (including payroll for private and NGO employees)
•  የድጋፍ ደብዳቤ(support letter)(በስፖንሰር ለተማሩ)
•  የቀድሞ የሙያ ፈቃድ (ለእድሳት)
•  3 ወር ያላለፈዉ የህክምና ማስረጃ(medical exam certificate)
•  COC( ለዲፕሎማ)
•  CPD ለሚያስፈልጋቸዉ  የጤና ባለሞያዎች",2024-10-12 13:16:33+00:00,
ETHIO-AMERICAN MEDICAL TRAININGS( CPD ) & HEALTH CONSULTANCY CENTER,EAHCI,2399,"💥 እሁድ ይጀምራል እንዳያመልጥዎ 💥
#Obstetric_Ultrasound_Training#Addis_Ababa

👉ጥቅምት 3/2017ጀምሮ ለ 1 ሳምንት ይሰጣል ።(ከክህሎቱ ባሻገር የ15CEU CPD Certificate  እንሰጣለን።)
---------------------------------------------
⏩ሰልጣኞች-Medical Doctors , Medical Rad.Technologists , HO, Bsc ,& Msc Midwifery.
⏩አሰልጣኞች-Rad & OBGYN specialists .
🚩የስልጠና ቦታ-በተመረጡ ሆስፒታሎች
✔አዘጋጅ-Ethio-American CPD center in collaboration with selected hospitals .
Call & Register 
  📲Dr shalom 0965412222
   📳 Selam      0968670067
   📳 Ekram      0965410000
   📳 Tinbit       0942404444
   📳 Office        0941404444
   📳 Office        0462124400
🏃For more info .follow us on telegram :-
t.me/eahci",2024-10-11 15:32:14+00:00,photos\EAHCI_2399.jpg
